page,inbound_links,outbound_links,CTA_count,menu_count,sidebar_count
/aba-20,1,13,16,5,9
/aba-20-mobile,0,0,10,0,0
/aboneconceptnote,0,0,0,0,0
/agri-transformation,0,12,16,5,8
/ai-academy,6,7,21,5,3
/ai-academy-2,0,7,15,1,7
/ai-academy-mobile,0,0,6,0,0
/border-trade-logistics,0,8,17,5,4
/border-trade-logistics-2,0,7,13,1,7
/build-abia,40,7,14,5,3
/build-abia-mobile,0,1,2,0,1
/citizen-consultations,1,7,16,5,3
/citizen-identity-civil-registry,1,14,23,5,10
/citizen-identity-mobile,0,1,2,0,1
/civil-service-mobile,0,1,8,0,1
/civil-service-portal,0,3,12,0,3
/civil-service-portal-2,0,12,22,4,8
/commerce-trade,0,8,18,5,4
/commerce-trade-2,0,6,13,1,5
/connect-abia,6,5,19,1,5
/connect-abia-mobile,0,1,10,0,1
/cooperatives-micro-credit,0,11,17,5,7
/cooperatives-micro-credit-2,0,6,14,0,6
/cooperatives-micro-credit-mobile,0,1,5,0,1
/diaspora-gateway,0,12,25,5,8
/digital-archives-heritage,2,12,21,5,8
/digital-archives-heritage-2,0,9,19,5,5
/digital-archives-heritage-mobile,0,1,6,0,1
/economic-transformation,89,7,14,5,3
/economic-transformation-2,0,8,16,5,4
/education-learning,2,8,22,5,4
/education-learning-2,0,8,15,1,7
/emergency-crisis-response,0,9,15,4,5
/emergency-response,0,6,14,0,6
/employer-portal,0,6,20,4,3
/environment-sustainability,0,15,28,5,11
/environment-sustainability-2,0,11,17,1,10
/environment-sustainability-mobile,0,0,4,0,0
/gada,0,8,20,5,4
/gada-mobile,0,0,9,0,0
/gada-mobile-2,0,0,10,0,0
/governors-command-center,0,7,18,1,6
/governors-command-center-mobile,0,1,8,0,1
/greater-aba-development-authority,6,6,14,0,6
/health-wellness,0,10,15,5,6
/health-wellness-2,0,8,17,1,7
/home-mobile,19,0,9,0,0
/home-variant,0,12,19,5,8
/housing-urban-development,0,10,24,5,6
/housing-urban-development-2,0,6,17,1,5
/industrial-hubs,0,7,14,5,3
/invest-abia,0,10,17,5,6
/invest-abia-mobile,0,0,9,0,0
/invest-in-aba,60,4,13,5,0
/jobs-abia,24,6,22,1,6
/jobs-abia-mobile,0,1,14,0,1
/land-property,1,7,10,4,3
/legal-institutional-registry,0,7,13,5,3
/legal-institutional-registry-2,0,12,22,5,8
/legal-institutional-registry-mobile,0,1,5,0,1
/live-incident-feed,0,6,20,0,6
/local-governance,98,10,19,2,8
/mda-performance,0,12,16,5,8
/ministry-of-agriculture,8,11,21,5,7
/ministry-of-agriculture-2,0,9,21,1,8
/ministry-of-agriculture-3,0,6,12,0,6
/ministry-of-agriculture-mobile,0,1,8,0,1
/ministry-of-agriculture-mobile-2,0,1,5,0,1
/ministry-of-communication,6,6,21,0,6
/ministry-of-communication-2,0,8,14,5,4
/ministry-of-education-mobile,0,0,10,0,0
/ministry-of-health,16,2,8,0,2
/ministry-of-health-2,0,10,20,5,6
/ministry-of-health-mobile,1,0,9,0,0
/ministry-of-health-mobile-2,0,2,6,0,2
/news-press-center,22,11,16,5,5
/open-abia,60,7,13,5,3
/open-abia-2,0,7,22,5,3
/open-abia-mobile,2,4,9,0,4
/,25,4,14,5,0
/procurement-tenders-registry,0,11,22,5,7
/public-reporting,0,5,9,5,1
/science-technology,2,10,18,5,6
/science-technology-2,0,9,19,1,8
/secure-abia,98,4,11,5,0
/secure-abia-2,0,7,14,0,7
/secure-abia-3,0,8,12,1,5
/secure-abia-mobile,0,0,14,0,0
/secure-abia-mobile-2,0,1,6,0,1
/serve-abia,143,11,20,0,11
/serve-abia-2,0,7,19,5,3
/serve-abia-3,0,8,23,4,4
/serve-abia-mobile,0,1,5,0,1
/sme-growth-support,1,8,24,1,8
/social-welfare,0,15,29,5,11
/social-welfare-2,0,7,15,1,6
/sovereign-fund-investment-portfolio,0,12,23,5,8
/state-archives,0,10,19,5,6
/tourism-culture,0,14,27,5,10
/tourism-culture-2,0,9,16,1,8
/tourism-culture-mobile,0,0,10,0,0
/trade-logistics-mobile,0,1,11,0,1
/transparent-governance,0,11,18,5,7
/transparent-governance-2,0,7,19,5,3
/transport-mobility,0,12,19,5,8
/transport-mobility-2,0,6,9,1,5
/transport-mobility-hub-mobile,0,1,6,0,1
/transport-mobility-mobile,0,0,7,0,0
/utilities-environment,0,10,21,5,6
/water-resources-irrigation,1,12,21,5,8
/water-resources-irrigation-2,0,3,7,0,3
/women-gender-affairs,2,13,22,5,9
/women-gender-affairs-2,0,12,21,1,11
/women-gender-affairs-mobile,0,1,3,0,1
/youth-sports,0,12,21,5,8
